id,name,category,value
78,Item 78,Category 3,780
79,Item 79,Category 4,790
80,Item 80,Category 0,800
81,Item 81,Category 1,810
82,Item 82,Category 2,820
83,Item 83,Category 3,830
84,Item 84,Category 4,840
85,Item 85,Category 0,850
86,Item 86,Category 1,860
87,Item 87,Category 2,870
88,Item 88,Category 3,880
89,Item 89,Category 4,890
90,Item 90,Category 0,900
91,Item 91,Category 1,910
92,Item 92,Category 2,920
93,Item 93,Category 3,930
94,Item 94,Category 4,940
95,Item 95,Category 0,950
96,Item 96,Category 1,960
97,Item 97,Category 2,970
98,Item 98,Category 3,980
99,Item 99,Category 4,990
100,Item 100,Category 0,1000
101,Item 101,Category 1,1010
102,Item 102,Category 2,1020
103,Item 103,Category 3,1030
104,Item 104,Category 4,1040
105,Item 105,Category 0,1050
106,Item 106,Category 1,1060
107,Item 107,Category 2,1070
108,Item 108,Category 3,1080
109,Item 109,Category 4,1090
110,Item 110,Category 0,1100
111,Item 111,Category 1,1110
112,Item 112,Category 2,1120
113,Item 113,Category 3,1130
114,Item 114,Category 4,1140
115,Item 115,Category 0,1150
116,Item 116,Category 1,1160
117,Item 117,Category 2,1170
118,Item 118,Category 3,1180
119,Item 119,Category 4,1190
120,Item 120,Category 0,1200
121,Item 121,Category 1,1210
122,Item 122,Category 2,1220
123,Item 123,Category 3,1230
124,Item 124,Category 4,1240
125,Item 125,Category 0,1250
126,Item 126,Category 1,1260
127,Item 127,Category 2,1270
128,Item 128,Category 3,1280
129,Item 129,Category 4,1290
130,Item 130,Category 0,1300
131,Item 131,Category 1,1310
132,Item 132,Category 2,1320
133,Item 133,Category 3,1330
134,Item 134,Category 4,1340
135,Item 135,Category 0,1350
136,Item 136,Category 1,1360
137,Item 137,Category 2,1370
138,Item 138,Category 3,1380
139,Item 139,Category 4,1390
140,Item 140,Category 0,1400
141,Item 141,Category 1,1410
142,Item 142,Category 2,1420
143,Item 143,Category 3,1430
144,Item 144,Category 4,1440
145,Item 145,Category 0,1450
146,Item 146,Category 1,1460
147,Item 147,Category 2,1470
148,Item 148,Category 3,1480
149,Item 149,Category 4,1490
150,Item 150,Category 0,1500
151,Item 151,Category 1,1510
152,Item 152,Category 2,1520
153,Item 153,Category 3,1530
154,Item 154,Category 4,1540
155,Item 155,Category 0,1550
156,Item 156,Category 1,1560
157,Item 157,Category 2,1570
158,Item 158,Category 3,1580
159,Item 159,Category 4,1590
160,Item 160,Category 0,1600
161,Item 161,Category 1,1610
162,Item 162,Category 2,1620
163,Item 163,Category 3,1630
164,Item 164,Category 4,1640
165,Item 165,Category 0,1650
166,Item 166,Category 1,1660
167,Item 167,Category 2,1670
168,Item 168,Category 3,1680
169,Item 169,Category 4,1690
170,Item 170,Category 0,1700
171,Item 171,Category 1,1710
172,Item 172,Category 2,1720
173,Item 173,Category 3,1730
174,Item 174,Category 4,1740
175,Item 175,Category 0,1750
176,Item 176,Category 1,1760
177,Item 177,Category 2,1770
178,Item 178,Category 3,1780
179,Item 179,Category 4,1790
180,Item 180,Category 0,1800
181,Item 181,Category 1,1810
182,Item 182,Category 2,1820
183,Item 183,Category 3,1830
184,Item 184,Category 4,1840
185,Item 185,Category 0,1850
186,Item 186,Category 1,1860
187,Item 187,Category 2,1870
188,Item 188,Category 3,1880
189,Item 189,Category 4,1890
190,Item 190,Category 0,1900
191,Item 191,Category 1,1910
192,Item 192,Category 2,1920
193,Item 193,Category 3,1930
194,Item 194,Category 4,1940
195,Item 195,Category 0,1950
196,Item 196,Category 1,1960
197,Item 197,Category 2,1970
198,Item 198,Category 3,1980
199,Item 199,Category 4,1990
200,Item 200,Category 0,2000
201,Item 201,Category 1,2010
202,Item 202,Category 2,2020
203,Item 203,Category 3,2030
204,Item 204,Category 4,2040
205,Item 205,Category 0,2050
206,Item 206,Category 1,2060
207,Item 207,Category 2,2070
208,Item 208,Category 3,2080
209,Item 209,Category 4,2090
210,Item 210,Category 0,2100
211,Item 211,Category 1,2110
212,Item 212,Category 2,2120
213,Item 213,Category 3,2130
214,Item 214,Category 4,2140
215,Item 215,Category 0,2150
216,Item 216,Category 1,2160
217,Item 217,Category 2,2170
218,Item 218,Category 3,2180
219,Item 219,Category 4,2190
220,Item 220,Category 0,2200
221,Item 221,Category 1,2210
222,Item 222,Category 2,2220
223,Item 223,Category 3,2230
224,Item 224,Category 4,2240
225,Item 225,Category 0,2250
226,Item 226,Category 1,2260
227,Item 227,Category 2,2270
228,Item 228,Category 3,2280
229,Item 229,Category 4,2290
230,Item 230,Category 0,2300
231,Item 231,Category 1,2310
232,Item 232,Category 2,2320
233,Item 233,Category 3,2330
234,Item 234,Category 4,2340
235,Item 235,Category 0,2350
236,Item 236,Category 1,2360
237,Item 237,Category 2,2370
238,Item 238,Category 3,2380
239,Item 239,Category 4,2390
240,Item 240,Category 0,2400
241,Item 241,Category 1,2410
242,Item 242,Category 2,2420
243,Item 243,Category 3,2430
244,Item 244,Category 4,2440
245,Item 245,Category 0,2450
246,Item 246,Category 1,2460
247,Item 247,Category 2,2470
248,Item 248,Category 3,2480
249,Item 249,Category 4,2490
250,Item 250,Category 0,2500
251,Item 251,Category 1,2510
252,Item 252,Category 2,2520
253,Item 253,Category 3,2530
254,Item 254,Category 4,2540
255,Item 255,Category 0,2550
256,Item 256,Category 1,2560
257,Item 257,Category 2,2570
258,Item 258,Category 3,2580
259,Item 259,Category 4,2590
260,Item 260,Category 0,2600
261,Item 261,Category 1,2610
262,Item 262,Category 2,2620
263,Item 263,Category 3,2630
264,Item 264,Category 4,2640
265,Item 265,Category 0,2650
266,Item 266,Category 1,2660
267,Item 267,Category 2,2670
268,Item 268,Category 3,2680
269,Item 269,Category 4,2690
270,Item 270,Category 0,2700
271,Item 271,Category 1,2710
272,Item 272,Category 2,2720
273,Item 273,Category 3,2730
274,Item 274,Category 4,2740
275,Item 275,Category 0,2750
276,Item 276,Category 1,2760
277,Item 277,Category 2,2770
278,Item 278,Category 3,2780
279,Item 279,Category 4,2790
280,Item 280,Category 0,2800
281,Item 281,Category 1,2810
282,Item 282,Category 2,2820
283,Item 283,Category 3,2830
284,Item 284,Category 4,2840
285,Item 285,Category 0,2850
286,Item 286,Category 1,2860
287,Item 287,Category 2,2870
288,Item 288,Category 3,2880
289,Item 289,Category 4,2890
290,Item 290,Category 0,2900
291,Item 291,Category 1,2910
292,Item 292,Category 2,2920
293,Item 293,Category 3,2930
294,Item 294,Category 4,2940
295,Item 295,Category 0,2950
296,Item 296,Category 1,2960
297,Item 297,Category 2,2970
298,Item 298,Category 3,2980
299,Item 299,Category 4,2990
300,Item 300,Category 0,3000
301,Item 301,Category 1,3010
302,Item 302,Category 2,3020
303,Item 303,Category 3,3030
304,Item 304,Category 4,3040
305,Item 305,Category 0,3050
306,Item 306,Category 1,3060
307,Item 307,Category 2,3070
308,Item 308,Category 3,3080
309,Item 309,Category 4,3090
310,Item 310,Category 0,3100
311,Item 311,Category 1,3110
312,Item 312,Category 2,3120
313,Item 313,Category 3,3130
314,Item 314,Category 4,3140
315,Item 315,Category 0,3150
316,Item 316,Category 1,3160
317,Item 317,Category 2,3170
318,Item 318,Category 3,3180
319,Item 319,Category 4,3190
320,Item 320,Category 0,3200
321,Item 321,Category 1,3210
322,Item 322,Category 2,3220
323,Item 323,Category 3,3230
324,Item 324,Category 4,3240
325,Item 325,Category 0,3250
326,Item 326,Category 1,3260
327,Item 327,Category 2,3270
328,Item 328,Category 3,3280
329,Item 329,Category 4,3290
330,Item 330,Category 0,3300
331,Item 331,Category 1,3310
332,Item 332,Category 2,3320
333,Item 333,Category 3,3330
334,Item 334,Category 4,3340
335,Item 335,Category 0,3350
336,Item 336,Category 1,3360
337,Item 337,Category 2,3370
338,Item 338,Category 3,3380
339,Item 339,Category 4,3390
340,Item 340,Category 0,3400
341,Item 341,Category 1,3410
342,Item 342,Category 2,3420
343,Item 343,Category 3,3430
344,Item 344,Category 4,3440
345,Item 345,Category 0,3450
346,Item 346,Category 1,3460
347,Item 347,Category 2,3470
348,Item 348,Category 3,3480
349,Item 349,Category 4,3490
350,Item 350,Category 0,3500
351,Item 351,Category 1,3510
352,Item 352,Category 2,3520
353,Item 353,Category 3,3530
354,Item 354,Category 4,3540
355,Item 355,Category 0,3550
356,Item 356,Category 1,3560
357,Item 357,Category 2,3570
358,Item 358,Category 3,3580
359,Item 359,Category 4,3590
360,Item 360,Category 0,3600
361,Item 361,Category 1,3610
362,Item 362,Category 2,3620
363,Item 363,Category 3,3630
364,Item 364,Category 4,3640
365,Item 365,Category 0,3650
366,Item 366,Category 1,3660
367,Item 367,Category 2,3670
368,Item 368,Category 3,3680
369,Item 369,Category 4,3690
370,Item 370,Category 0,3700
371,Item 371,Category 1,3710
372,Item 372,Category 2,3720
373,Item 373,Category 3,3730
374,Item 374,Category 4,3740
375,Item 375,Category 0,3750
376,Item 376,Category 1,3760
377,Item 377,Category 2,3770
378,Item 378,Category 3,3780
379,Item 379,Category 4,3790
380,Item 380,Category 0,3800
381,Item 381,Category 1,3810
382,Item 382,Category 2,3820
383,Item 383,Category 3,3830
384,Item 384,Category 4,3840
385,Item 385,Category 0,3850
386,Item 386,Category 1,3860
387,Item 387,Category 2,3870
388,Item 388,Category 3,3880
389,Item 389,Category 4,3890
390,Item 390,Category 0,3900
391,Item 391,Category 1,3910
392,Item 392,Category 2,3920
393,Item 393,Category 3,3930
394,Item 394,Category 4,3940
395,Item 395,Category 0,3950
396,Item 396,Category 1,3960
397,Item 397,Category 2,3970
398,Item 398,Category 3,3980
399,Item 399,Category 4,3990
400,Item 400,Category 0,4000
401,Item 401,Category 1,4010
402,Item 402,Category 2,4020
403,Item 403,Category 3,4030
404,Item 404,Category 4,4040
405,Item 405,Category 0,4050
406,Item 406,Category 1,4060
407,Item 407,Category 2,4070
408,Item 408,Category 3,4080
409,Item 409,Category 4,4090
410,Item 410,Category 0,4100
411,Item 411,Category 1,4110
412,Item 412,Category 2,4120
413,Item 413,Category 3,4130
414,Item 414,Category 4,4140
415,Item 415,Category 0,4150
416,Item 416,Category 1,4160
417,Item 417,Category 2,4170
418,Item 418,Category 3,4180
419,Item 419,Category 4,4190
420,Item 420,Category 0,4200
421,Item 421,Category 1,4210
422,Item 422,Category 2,4220
423,Item 423,Category 3,4230
424,Item 424,Category 4,4240
425,Item 425,Category 0,4250
426,Item 426,Category 1,4260
427,Item 427,Category 2,4270
428,Item 428,Category 3,4280
429,Item 429,Category 4,4290
430,Item 430,Category 0,4300
431,Item 431,Category 1,4310
432,Item 432,Category 2,4320
433,Item 433,Category 3,4330
434,Item 434,Category 4,4340
435,Item 435,Category 0,4350
436,Item 436,Category 1,4360
437,Item 437,Category 2,4370
438,Item 438,Category 3,4380
439,Item 439,Category 4,4390
440,Item 440,Category 0,4400
441,Item 441,Category 1,4410
442,Item 442,Category 2,4420
443,Item 443,Category 3,4430
444,Item 444,Category 4,4440
445,Item 445,Category 0,4450
446,Item 446,Category 1,4460
447,Item 447,Category 2,4470
448,Item 448,Category 3,4480
449,Item 449,Category 4,4490
450,Item 450,Category 0,4500
451,Item 451,Category 1,4510
452,Item 452,Category 2,4520
453,Item 453,Category 3,4530
454,Item 454,Category 4,4540
455,Item 455,Category 0,4550
456,Item 456,Category 1,4560
457,Item 457,Category 2,4570
458,Item 458,Category 3,4580
459,Item 459,Category 4,4590
460,Item 460,Category 0,4600
461,Item 461,Category 1,4610
462,Item 462,Category 2,4620
463,Item 463,Category 3,4630
464,Item 464,Category 4,4640
465,Item 465,Category 0,4650
466,Item 466,Category 1,4660
467,Item 467,Category 2,4670
468,Item 468,Category 3,4680
469,Item 469,Category 4,4690
470,Item 470,Category 0,4700
471,Item 471,Category 1,4710
472,Item 472,Category 2,4720
473,Item 473,Category 3,4730
474,Item 474,Category 4,4740
475,Item 475,Category 0,4750
476,Item 476,Category 1,4760
477,Item 477,Category 2,4770
478,Item 478,Category 3,4780
479,Item 479,Category 4,4790
480,Item 480,Category 0,4800
481,Item 481,Category 1,4810
482,Item 482,Category 2,4820
483,Item 483,Category 3,4830
484,Item 484,Category 4,4840
485,Item 485,Category 0,4850
486,Item 486,Category 1,4860
487,Item 487,Category 2,4870
488,Item 488,Category 3,4880
489,Item 489,Category 4,4890
490,Item 490,Category 0,4900
491,Item 491,Category 1,4910
492,Item 492,Category 2,4920
493,Item 493,Category 3,4930
494,Item 494,Category 4,4940
495,Item 495,Category 0,4950
496,Item 496,Category 1,4960
497,Item 497,Category 2,4970
498,Item 498,Category 3,4980
499,Item 499,Category 4,4990
500,Item 500,Category 0,5000
